Rede,Nome Fantasia,Logradouro,Bairro,Cep,Ddd,Telefone,Uf,Municipio,DtAbertutra,codUnidade,Cnpj,Categoria,Classsificação,Fontes,Cnes,Latitude,Longitude,Email
Mmartan,Outlet Premium Salvador,"Estrada Do Coco, KM 12,5, Lojas 1030/1031",Vila Abrantes,42840971,,(19) 995241204,BA,Camacari,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-12.826755,-38.266167,salvadoroutlet@mmartan.com.br
Mmartan,Lauro de Freitas,"Avenida Santos Dumont, 5046, Lote VAR Tropicais Q 0001",Pitangueiras,42701260,,(19) 991327226,BA,Lauro de Freitas,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-12.881824,-38.314254,lfreitas@mmartan.com.br
Mmartan,Shopping da Bahia,"Avenida Tancredo Neves 148, 148, Lojas 17/18/19, 3° Piso",Caminho das Árvores,41820908,,(19) 991322361,BA,Salvador,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-12.981181,-38.465277,shoppingbahia@mmartan.com.br
Mmartan,Outlet Premium Fortaleza,"Rodovia BR-020, KM 12, Lojas 11/12",Nova Metrópole (Jurema),61658007,,(19) 991295911,CE,Caucaia,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-3.771647,-38.672674,premiumfortaleza@mmartan.com.br
Mmartan,I Fashion Outlet Novo Hamburgo,"Rua Rincão, 505, Loja 142",Rincão,93310460,,(19) 991257434,RS,Novo Hamburgo,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-29.669901,-51.141541,outletifashion@mmartan.com.br
Mmartan,Shopping Mueller Joinville,"Rua Visconde de Taunay 235, 235, Lojas 1/2/3, 1º Piso",Centro,89201908,,(19) 991333412,SC,Joinville,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-26.30327,-48.849376,joinville@mmartan.com.br
Mmartan,Cataratas JL Shopping,"Avenida Costa e Silva, 185, Loja 214 A",Cr 1,85863712,,(45) 30281108,PR,Foz do Iguaçu,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-25.533056,-54.574681,cataratasshop@mmartan.com.br
Mmartan,Vinhedo,"Rodovia Anhanguera, 3117, KM 77,5",Distrito Industrial Benedito Storani,13288000,,(19) 991245789,SP,Vinhedo,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-23.050479,-47.002217,vinhedo@mmartan.com.br
Mmartan,Park Shopping Brasilia,"SMAS, BL 6580 , Lojas 250-C e 251",Zona Industrial (Guará),71219900,,(19) 991290450,DF,Brasília,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-15.834351,-47.954769,parkshop@mmartan.com.br
Mmartan,Shopping Flamboyant,"Avenida Deputado Jamel Cecílio, 3300, QD B34, LT 2E, Loja S25",Jardim Goiás,74810100,,(19) 991285029,GO,Goiânia,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-16.709759,-49.235716,flamboyant@mmartan.com.br
Mmartan,Outlet Premium Brasília,"null, S/N, KM 22 , Lojas 1013/1014",,72930000,,(19) 991286545,GO,Alexânia,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-16.121087,-48.398269,outletbrasilia@mmartan.com.br
Mmartan,BH Shopping,"Rodovia BR-356 3049, 3049, Loja 25",Belvedere,30320900,,(19) 991278735,MG,Belo Horizonte,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-19.974255,-43.944254,bhshopping@mmartan.com.br
Mmartan,Diamond Mall,"Avenida Olegário Maciel, 1600, Lojas BG 22/23",Lourdes,30180111,,(19) 991274552,MG,Belo Horizonte,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-19.928103,-43.946757,diamond@mmartan.com.br
Mmartan,Shopping Rio Sul,"Avenida Lauro Sodré, 445, Loja 201, PTE. B29",Botafogo,22290070,,(19) 991270815,RJ,Rio de Janeiro,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-22.956668,-43.176934,riosul@mmartan.com.br
Mmartan,Sete de Setembro,"Rua Sete de Setembro, 76, Lojas D/E",Centro,20050009,,(19) 991268158,RJ,Rio de Janeiro,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-22.904676,-43.177266,sete@mmartan.com.br
Mmartan,Barra Shopping,"Avenida Armando Lombardi, 4666, Loja 218 F",Barra da Tijuca,22640000,,(19) 991271490,RJ,Rio de Janeiro,,,"[<Selector xpath=""descendant-or-self::div[@class and contains(concat(' ', normalize-space(@class), ' '), ' x21smb-0 ') and (@class and contains(concat(' ', normalize-space(@class), ' '), ' eaLBM '))]/p/span/text()"" data='Ammo Varejo Ltda CNPJ: 03.494.776/001...'>]",Artigos Diversos,,,,-22.998596,-43.357985,barra@mmartan.com.br
